# ells, Dells tau
2.000000000000000000e+02 2.271911647766158550e-05 2.913506847965349148e-04
4.500000000000000000e+02 9.185591138391216675e-05 5.415363954960516124e-04
7.000000000000000000e+02 1.748629515323947819e-04 7.054388392961505544e-04
9.500000000000000000e+02 2.438832184349190200e-04 8.168649443583611948e-04
1.200000000000000000e+03 2.891414323985702661e-04 9.049304803955887308e-04
1.450000000000000000e+03 3.102398328751330330e-04 9.810704445079496648e-04
1.700000000000000000e+03 3.160863073848532842e-04 1.046721867787845945e-03
1.950000000000000000e+03 3.134210677377664389e-04 1.106008929910835522e-03
2.200000000000000000e+03 3.052942030487173879e-04 1.160647864365317279e-03
2.450000000000000000e+03 2.946351183611917385e-04 1.210834949543618689e-03
2.700000000000000000e+03 2.829593112293892648e-04 1.257349491158486982e-03
2.950000000000000000e+03 2.709839147102232866e-04 1.300671143163724570e-03
3.200000000000000000e+03 2.592501468830123580e-04 1.341064694984756478e-03
3.450000000000000000e+03 2.480046043097167618e-04 1.378818192002544693e-03
3.700000000000000000e+03 2.373595333897783653e-04 1.414175609759614049e-03
3.950000000000000000e+03 2.273723416971227087e-04 1.447315056510521756e-03
4.200000000000000000e+03 2.180372686709133704e-04 1.478412497062013423e-03
4.450000000000000000e+03 2.093337696571744694e-04 1.507630789773514203e-03
4.700000000000000000e+03 2.012298950347765527e-04 1.535103884369602408e-03
4.950000000000000000e+03 1.936869108850840910e-04 1.560947403295601587e-03
5.200000000000000000e+03 1.866631942371897257e-04 1.585271346738680379e-03
5.450000000000000000e+03 1.801174874830198630e-04 1.608177574249762456e-03
5.700000000000000000e+03 1.740105002006564711e-04 1.629754738592205160e-03
5.950000000000000000e+03 1.683055806030869252e-04 1.650082968046015291e-03
6.200000000000000000e+03 1.629690453291211848e-04 1.669238264882019285e-03
6.450000000000000000e+03 1.579701532358926506e-04 1.687291587928424312e-03
6.700000000000000000e+03 1.532809130038379202e-04 1.704307787273487028e-03
6.950000000000000000e+03 1.488758980089869958e-04 1.720345336546091203e-03
7.200000000000000000e+03 1.447320514928561854e-04 1.735457818755122006e-03
7.450000000000000000e+03 1.408284835704650166e-04 1.749695748487160168e-03
7.700000000000000000e+03 1.371462695533715037e-04 1.763106835995362741e-03
7.950000000000000000e+03 1.336682614731395352e-04 1.775735139180445888e-03
8.200000000000000000e+03 1.303789128469506756e-04 1.787621386122079927e-03
8.450000000000000000e+03 1.272641173877777005e-04 1.798803634459488279e-03
8.700000000000000000e+03 1.243110621335472726e-04 1.809317082245878901e-03
8.950000000000000000e+03 1.215080948147855965e-04 1.819194956369623141e-03
9.200000000000000000e+03 1.188446077261788179e-04 1.828468625675383225e-03
9.450000000000000000e+03 1.163109403486599987e-04 1.837167635575587179e-03
9.700000000000000000e+03 1.138982807213301327e-04 1.845319604673014997e-03
9.950000000000000000e+03 1.115985734041734652e-04 1.852950080023696563e-03
