# ells, Dells ksz
5.000000000000000000e+01 3.687509823226024297e-04 2.684932883895180256e-02
3.000000000000000000e+02 7.720095127963090553e-02 5.389834693294575096e-01
5.500000000000000000e+02 3.073361642833361551e-01 1.069418167351900761e+00
8.000000000000000000e+02 6.071805387496168604e-01 1.493064065046880051e+00
1.050000000000000000e+03 8.732246377984367314e-01 1.819596730373840066e+00
1.300000000000000000e+03 1.065927348967239174e+00 2.077083174788616482e+00
1.550000000000000000e+03 1.187139270844046912e+00 2.293900237674061149e+00
1.800000000000000000e+03 1.251862800870670478e+00 2.481984325200818908e+00
2.050000000000000000e+03 1.277516278816894779e+00 2.648484702460706330e+00
2.300000000000000000e+03 1.278411121167721598e+00 2.798791322863693587e+00
2.550000000000000000e+03 1.262398546726520410e+00 2.936445873386299255e+00
2.800000000000000000e+03 1.237463836841572240e+00 3.062859135101799080e+00
3.050000000000000000e+03 1.206086949289824517e+00 3.180516597256834554e+00
3.300000000000000000e+03 1.172055817327310345e+00 3.289968166925882453e+00
3.550000000000000000e+03 1.137033982852062808e+00 3.392515234040935468e+00
3.800000000000000000e+03 1.101328590035201671e+00 3.489154115042978788e+00
4.050000000000000000e+03 1.066511616320372280e+00 3.579960589165912310e+00
4.300000000000000000e+03 1.033056239698735279e+00 3.665585627154230863e+00
4.550000000000000000e+03 1.000772993975162617e+00 3.746664436018102506e+00
4.800000000000000000e+03 9.694582999518754907e-01 3.823679030350767061e+00
5.050000000000000000e+03 9.397886957292319599e-01 3.896584780159075390e+00
5.300000000000000000e+03 9.117866296893553102e-01 3.965694393246158356e+00
5.550000000000000000e+03 8.853070932194028186e-01 4.031436060496590201e+00
5.800000000000000000e+03 8.599258571213725943e-01 4.094086662261857690e+00
6.050000000000000000e+03 8.356377469570133165e-01 4.153875542801586995e+00
6.300000000000000000e+03 8.128008659442573780e-01 4.210629923608067315e+00
6.550000000000000000e+03 7.912856117737431250e-01 4.264636927750132145e+00
6.800000000000000000e+03 7.709795605145972619e-01 4.316157146806008704e+00
7.050000000000000000e+03 7.517382160168228911e-01 4.365264922651888924e+00
7.300000000000000000e+03 7.332518747180901686e-01 4.412213072979772832e+00
7.550000000000000000e+03 7.155205331375336097e-01 4.457108615915848837e+00
7.800000000000000000e+03 6.987293421911453528e-01 4.499868472193967683e+00
8.050000000000000000e+03 6.828337462898625976e-01 4.540605924489405254e+00
8.300000000000000000e+03 6.677476942295963447e-01 4.579490128679112537e+00
8.550000000000000000e+03 6.534287343417178873e-01 4.616616415151726827e+00
8.800000000000000000e+03 6.397919528465664252e-01 4.652050244344529517e+00
9.050000000000000000e+03 6.266880075472628375e-01 4.685907152800824704e+00
9.300000000000000000e+03 6.140424703125145767e-01 4.718299171382628998e+00
9.550000000000000000e+03 6.019068664189904938e-01 4.749228262458144556e+00
9.800000000000000000e+03 5.903350524473451877e-01 4.778699656743627955e+00
